,Company,Industry,Sector,Main_Office,start_up
379,SAS Motors ,Industrials ,Agricultural & farm machinery ,Faridabad ,2004 
380,Sasken Technologies ,Industrials ,Business support services ,Bengaluru ,1989 
381,Sea6 Energy ,Energy ,Alternative energy ,Bengaluru ,2010 
382,Serum Institute of India ,Health care ,Pharmaceuticals & biotehcnology ,Pune ,1966 
383,Shapoorji Pallonji Group ,Conglomerate ,— ,Mumbai ,1865 
384,Shipping Corporation of India ,Industrials ,Marine transportation ,Mumbai ,1961 
385,Shoppers Stop ,Retail ,Apparel retailers ,Mumbai ,1991 
386,Shree Cement ,Industrials ,Cement ,Kolkata ,1979 
387,Shree Ganesh Jewellery House ,Retail ,Specialty retailers ,Kolkata ,2002 
388,Shree Renuka Sugars ,Consumer goods ,Food products ,Belgaum ,1998 
389,Shriram Group ,Conglomerate ,— ,Chennai ,1974 
390,Singareni Collieries Company ,Energy ,Coal ,Kothagudem ,1920 
391,Skipper Limited ,Industrials ,Electrical components ,Kolkata ,1981 
392,Skyroot Aerospace ,Industrials ,"Aerospace, space industry ",Hyderabad ,2018 
393,Snapdeal ,Technology ,Consumer digital services ,New Delhi ,2010 
394,Sobha ,Real estate ,Real estate holding & development ,Bengaluru ,1995 
395,Sonata Software ,Technology ,Software ,Bengaluru ,1986 
396,South Indian Bank ,Financials ,Banks ,Thrissur ,1929 
397,SpiceJet ,Consumer services ,Airlines ,Gurugram ,2004 
398,SSS Defence ,Industrials ,Defense ,Bengaluru ,2017 
399,State Bank of India ,Financials ,Banks ,Mumbai ,1806 
400,Steel Authority of India Limited ,Basic materials ,Iron & steel ,New Delhi ,1954 
401,Sterlite Copper ,Basic materials ,Copper ,Kolkata ,1975 
402,Sterlite Technologies ,Telecommunications ,Telecommunications equipment ,Pune ,2000 
403,Suminter India Organics ,Consumer goods ,Food products ,Mumbai ,2003 
404,Sun Group ,Consumer services ,Broadcasting & entertainment ,Chennai ,1992 
405,Sun Pharma ,Health care ,Pharmaceuticals ,Mumbai ,1983 
406,Surya Roshni ,Industrials ,Diversified industrials ,Delhi ,1973 
407,Suzlon ,Utilites ,Alternative electricity ,Pune ,1995 
