,Company,Industry,Sector,Main_Office,start_up
154,Haldiram's ,Consumer goods ,Food products ,Bikaner ,1937 
155,Haptik ,Technology ,Software ,Mumbai ,2013 
156,Hatsun Agro Product ,Consumer goods ,Food products ,Chennai ,1970 
157,Havells ,Industrials ,Electrical components ,Noida ,1958 
158,Hawkins Cookers ,Consumer goods ,Durable household products ,Mumbai ,1921 
159,HCLTech ,Industrials ,Business support services ,Noida ,1976 
160,HDFC Bank ,Financials ,Banks ,Mumbai ,1994 
161,HDIL ,Real estate ,Real estate holding & development ,Mumbai ,1996 
162,Hero Cycles ,Consumer goods ,Recreational vehicles ,Ludhiana ,1956 
163,Hero FinCorp ,Financials ,Financial services ,New Delhi ,1991 
164,Hero MotoCorp ,Consumer goods ,Automobiles ,Gurugram ,1984 
165,HFCL ,Telecommunications ,Telecommunications equipment ,New Delhi ,1987 
166,Himalaya Wellness Company ,Health care ,Ayurvedic producers ,Bengaluru ,1930 
167,Hindalco Industries ,Basic materials ,Aluminium ,Mumbai ,1958 
168,Hinduja Group ,Conglomerate ,— ,Mumbai ,1914 
169,Hinduja Healthcare ,Health care ,Health care providers ,Mumbai ,? 
170,Hindustan Aeronautics Limited ,Industrials ,Aerospace & defense ,Bengaluru ,1940 
171,Hindustan Construction Company ,Real estate ,Real estate holding & development ,Mumbai ,1926 
172,Hindustan Copper ,Basic materials ,Copper ,Kolkata ,1967 
173,Hindustan Motors ,Consumer goods ,Automobiles ,Kolkata ,1942 
174,Hindustan Petroleum ,Energy ,Oil refining & marketing ,Mumbai ,1974 
175,Hindustan Shipyard ,Industrials ,Shipbuilding ,Visakhapatnam ,1941 
176,Hindustan Times ,Consumer services ,Publishing ,New Delhi ,1924 
177,Hindustan Unilever ,Consumer goods ,Food & personal products ,Mumbai ,1933 
178,Hindustan Zinc ,Basic materials ,Nonferrous metals ,Udaipur ,1966 
179,HLL Lifecare ,Health care ,Pharmaceuticals & medical equipment ,Thiruvananthapuram ,1966 
180,HMT Limited ,Industrials ,Diversified industrials ,Bengaluru ,1953 
181,Housing Development Finance Corporation ,Financials ,Financial services ,Mumbai ,1977 
182,iball ,Consumer goods ,Consumer electronics ,Mumbai ,2001 
183,ICICI Bank ,Financials ,Banks ,Mumbai ,1994 
184,IDBI Bank ,Financials ,Banks ,Mumbai ,1964 
185,IDFC First Bank ,Financials ,Banks ,Mumbai ,2015 
186,Indegene ,Health care ,Health care services ,Bangalore ,1998 
187,India Cements ,Industrials ,Cement ,Tirunelveli ,1946 
188,India Optel ,Industrials ,Electronic & electrical equipment ,Dehradun ,2021 
189,Indiabulls ,Financials ,Financial services ,Gurugram ,2000 
190,India Infoline ,Financials ,Financial services ,Mumbai ,1995 
191,Indian Bank ,Financials ,Banks ,Chennai ,1907 
192,Indian Hotels Company Limited ,Consumer services ,Hotels & motels ,Mumbai ,1902 
193,Indian Oil Corporation ,Energy ,Oil refining & marketing ,New Delhi ,1959 
194,Indian Overseas Bank ,Financials ,Banks ,Chennai ,1937 
195,Indian Railway Finance Corporation ,Financials ,Financial services ,New Delhi ,1976 
196,Indian Railways ,Industrials ,Railroads ,New Delhi ,1853 
197,Indian Railway Stations Development Corporation ,Industrials ,Railroads ,New Delhi ,2012 
198,Indian Telephone Industries Limited ,Telecommunications ,Telecommunications equipment ,Bengaluru ,1949 
199,IndiGo ,Consumer services ,Airlines ,Gurugram ,2006 
200,IndusInd Bank ,Financials ,Banks ,Mumbai ,1994 
201,Infibeam ,Technology ,Consumer digital services ,Ahmedabad ,2007 
202,Infosys ,Industrials ,Business support services ,Bengaluru ,1981 
203,Infrastructure Development Finance Company ,Financials ,Asset managers ,Chennai ,1997 
204,Infrastructure Leasing & Financial Services ,Financials ,Financial services ,Mumbai ,1987 
205,InMobi ,Technology ,Consumer digital services ,Bangalore ,2007 
206,Inox Air Products ,Industrials ,Industrial suppliers ,Mumbai ,1963 
207,Inox Wind ,Utilities ,Alternative electricity ,Noida ,1963 
208,Integral Coach Factory ,Industrials ,Railroad equipment ,Chennai ,1955 
209,Intelenet Global Services ,Industrials ,Business support services ,Mumbai ,2000 
210,Intex Technologies ,Consumer goods ,Consumer electronics ,New Delhi ,1996 
211,Ircon International ,Industrials ,Construction ,New Delhi ,1976 
212,ITC Limited ,Conglomerate ,— ,Kolkata ,1910 
213,Ittiam Systems ,Technology ,Software & IT services ,Bengaluru ,2001 
214,Jabong.com ,Technology ,Consumer digital services ,Gurugram ,2012 
215,Jain Irrigation Systems ,Industrials ,Agricultural & farm machinery ,Jalgaon ,1986 
216,Jakson Group ,Industrials ,Industrial engineering ,Noida ,1947 
217,Jawa Motorcycles ,Consumer goods ,Automobiles ,Mysuru ,1960 
218,ISRO ,Industrials ,"Aerospace, space industry ",Bengaluru ,1962 
219,Jaypee Group ,Conglomerate ,— ,Noida ,1979 
220,Jet Airways ,Consumer services ,Airlines ,Mumbai ,1992 
221,Jio-bp ,Energy ,Integrated oil & gas ,Ahmedabad ,2008 
222,Jio ,Telecommunications ,Telecommunications services ,Navi Mumbai ,2007 
223,Jio Platforms ,Conglomerate ,— ,Navi Mumbai ,2019 
224,Jindal Stainless ,Basic materials ,Iron & steel ,New Delhi ,1970 
225,Jindal Steel and Power ,Basic materials ,Iron & steel ,New Delhi ,1952 
226,Jupiter Wagons ,Railways ,Railway equipment & wagons ,Kolkata ,1979 
227,JSW Energy ,Utilities ,Conventional electricity ,Mumbai ,1994 
228,JSW Group ,Conglomerate ,— ,Mumbai ,1982 
229,JSW MG Motor India ,Consumer goods ,Automobiles ,Gurugram ,2017 
230,JSW Steel ,Basic materials ,Iron & steel ,Mumbai ,1982 
231,Jubilant FoodWorks ,Consumer services ,Restaurants & bars ,Noida ,1995 
232,K Raheja Corp ,Real estate ,Real estate ,Mumbai ,1956 
233,Kalyani Group ,Conglomerate ,— ,Pune ,? 
234,Karbonn Mobiles ,Consumer goods ,Consumer electronics ,New Delhi ,2009 
235,Karnataka Bank ,Financials ,Banks ,Mangaluru ,1924 
236,Karur Vysya Bank ,Financials ,Banks ,Karur ,1916 
237,Kerala Automobiles Limited ,Consumer goods ,Automobiles ,Thiruvananthapuram ,1978 
238,Kerala Electrical and Allied Engineering Company ,Industrials ,Electrical components ,Kochi ,1964 
239,Khadim's ,Consumer goods ,Footwear ,Kolkata ,1981 
240,Kingfisher ,Consumer goods ,Beverages ,Bangaluru ,1857 
241,Kirloskar Group ,Conglomerate ,— ,Pune ,1888 
242,Kokuyo Camlin ,Consumer goods ,Nondurable household products ,Mumbai ,1931 
243,Konkan Railway Corporation ,Industrials ,Railroads ,Navi Mumbai ,1990 
244,Kotak Mahindra Bank ,Financials ,Banks ,Mumbai ,1965 
245,KPIT Technologies ,Consumer goods ,Automobiles & parts ,Pune ,1990 
246,KSK Energy Ventures ,Utilities ,Alternative electricity ,Hyderabad ,2001[5] 
247,Kudremukh Iron Ore Company ,Basic materials ,Iron & steel ,Mangaluru ,1976 
248,Lakshmi Machine Works ,Industrials ,Diversified industrials ,Coimbatore ,1962 
249,Lakshmi Vilas Bank ,Financials ,Banks ,Chennai ,1926 
250,Lanco Infratech ,Conglomerate ,— ,New Delhi ,1986 
251,Larsen & Toubro ,Conglomerate ,— ,Mumbai ,1938 
252,Lava International ,Consumer goods ,Consumer electronics ,Noida ,2009 
253,Liberty Shoes ,Consumer goods ,Footwear ,Karnal ,1954 
254,Life Insurance Corporation ,Financials ,Life insurance ,Mumbai ,1956 
255,Living Media ,Consumer services ,Publishing ,New Delhi ,1975 
256,LYF ,Consumer goods ,Consumer electronics ,Mumbai ,2015 
257,Mahanadi Coalfields ,Energy ,Coal ,Sambalpur ,1992 
258,Mahindra Aerospace ,Industrials ,Aerospace ,Mumbai ,2003 
259,Mahindra & Mahindra ,Consumer goods ,Automobiles ,Mumbai ,1945 
260,Mahindra Group ,Conglomerate ,— ,Mumbai ,1945 
261,MakeMyTrip ,Technology ,Consumer digital services ,Gurugram ,2000 
262,Mangalore Chemicals & Fertilizers ,Chemicals ,Fertilizers ,Bengaluru ,1974 
263,Mangalore Refinery and Petrochemicals Limited ,Energy ,Oil refining & marketing ,Mangaluru ,1988 
264,Marico ,Consumer goods ,Personal products ,Mumbai ,1991 
265,Maruti Suzuki ,Consumer goods ,Automobiles ,New Delhi ,1981 
266,Mastek ,Industrials ,Business support services ,Mumbai ,1982 
267,Max Group ,Conglomerate ,— ,New Delhi ,1985 
268,Max Healthcare ,Health care ,Health care providers ,New Delhi ,2001 
269,Max Life Insurance ,Financials ,Life insurance ,New Delhi ,2001 
270,Max Ventures and Industries ,Real estate ,Real estate ,New Delhi ,2015 
271,Mazagon Dock Shipbuilders ,Industrials ,Shipbuilding ,Mumbai ,1934 
272,MECON ,Industrials ,Business support services ,Ranchi ,1973 
273,Mercator ,Industrials ,Marine transportation ,Mumbai ,1983 
274,Metro Brands ,Consumer goods ,Footwear ,Mumbai ,1947 
275,Microland ,Technology ,Software ,Bengaluru ,1989 
276,Micromax Informatics ,Consumer goods ,Consumer electronics ,Gurugram ,2000 
277,Milky Mist Dairy ,Consumer goods ,Food products ,Erode ,1992 
278,Mindtree ,Industrials ,Business support services ,Bengaluru ,1999 
279,Mishra Dhatu Nigam ,Industrials ,Metal fabricating ,Hyderabad ,1973 
280,Mistral Solutions ,Industrials ,Business support services ,Bengaluru ,1997 
281,MKU ,Industrials ,Defense ,Kanpur ,1985 
282,MMTC Ltd ,Financials ,Investment services ,New Delhi ,1963 
283,"Modern Coach Factory, Raebareli ",Industrials ,Railroad equipment ,Raebareli ,2012 
284,MOIL ,Basic materials ,General mining ,Nagpur ,1962 
285,Moser Baer ,Technology ,Computer hardware ,New Delhi ,1983 
286,Mother Dairy ,Consumer goods ,Food products ,Noida ,1974 
287,Mphasis ,Industrials ,Business support services ,Bengaluru ,2000 
288,MRF ,Consumer goods ,Tires ,Chennai ,1946 
289,MS Shoes ,Consumer goods ,Footwear ,Delhi ,1986 
290,MSTC Limited ,Technology ,Consumer digital services ,Kolkata ,1964 
291,Mukand ,Basic materials ,Iron & steel ,Mumbai ,1937 
292,Munitions India ,Industrials ,Defense ,Kanpur ,2021 
